municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Villalbilla                                 ;2020/04/09 07:00:00;20;178,97;76;680,09;1723
El Escorial                                 ;2020/04/09 07:00:00;19;114,3;42;252,66;549
Colmenar del Arroyo                         ;2020/04/09 07:00:00;;0;;259,24;421
Torrejón de Ardoz                           ;2020/04/09 07:00:00;278;201,03;775;560,42;1489
Piñuécar-Gandullas                          ;2020/04/09 07:00:00;;0;;0;1147
Brea de Tajo                                ;2020/04/09 07:00:00;;272,11;;408,16;259
El Molar                                    ;2020/04/09 07:00:00;18;187,62;25;260,58;869
Belmonte de Tajo                            ;2020/04/09 07:00:00;;0;;144,61;199
Torres de la Alameda                        ;2020/04/09 07:00:00;23;279,13;56;679,61;1548
Somosierra                                  ;2020/04/09 07:00:00;;1612,9;;1612,9;1436
Alpedrete                                   ;2020/04/09 07:00:00;34;235,57;70;485;105
Orusco de Tajuña                            ;2020/04/09 07:00:00;12;1086,96;16;1449,28;1028
La Hiruela                                  ;2020/04/09 07:00:00;;9090,91;;9090,91;698
Cervera de Buitrago                         ;2020/04/09 07:00:00;;925,93;;925,93;395
Getafe                                      ;2020/04/09 07:00:00;365;190,7;776;405,44;650
Ribatejada                                  ;2020/04/09 07:00:00;;227,79;;227,79;1224
Villaconejos                                ;2020/04/09 07:00:00;;22,54;8;180,34;1701
Valdetorres de Jarama                       ;2020/04/09 07:00:00;;125,72;11;276,59;1646
Madrid-Retiro                               ;2020/04/08 07:00:00;467;483,28;901;932,4;79603
Madrid-Salamanca                            ;2020/04/08 07:00:00;573;364,18;1130;718,19;79604
Madrid-Centro                               ;2020/04/08 07:00:00;436;306,55;746;524,51;79601
Madrid-Arganzuela                           ;2020/04/08 07:00:00;643;360,42;1079;604,81;79602
Madrid-Chamartín                            ;2020/04/08 07:00:00;579;394,19;1068;727,1;79605
Madrid-Tetuán                               ;2020/04/08 07:00:00;849;519,34;1486;908,99;79606
Madrid-Chamberí                             ;2020/04/08 07:00:00;601;404,76;926;623,64;79607
Madrid-Fuencarral-El Pardo                  ;2020/04/08 07:00:00;1197;533,09;2030;904,07;79608
Madrid-Moncloa-Aravaca                      ;2020/04/08 07:00:00;444;349,93;803;632,86;79609
Madrid-Latina                               ;2020/04/08 07:00:00;1035;414,71;1569;628,68;79610
Madrid-Carabanchel                          ;2020/04/08 07:00:00;867;351,84;1590;645,25;79611
Madrid-Usera                                ;2020/04/08 07:00:00;516;347,59;926;623,77;79612
Madrid-Puente de Vallecas                   ;2020/04/08 07:00:00;1203;470,41;2137;835,63;79613
Madrid-San Blas - Canillejas                ;2020/04/08 07:00:00;605;435,64;1065;766,88;79620
Madrid-Barajas                              ;2020/04/08 07:00:00;174;330,29;313;594,14;79621
Madrid-Moratalaz                            ;2020/04/08 07:00:00;569;433,82;972;741,09;79614
Madrid-Ciudad Lineal                        ;2020/04/08 07:00:00;749;283,01;1333;503,67;79615
Madrid-Hortaleza                            ;2020/04/08 07:00:00;732;346,47;1276;603,95;79616
Madrid-Villaverde                           ;2020/04/08 07:00:00;487;306,21;959;602,98;79617
Madrid-Villa de Vallecas                    ;2020/04/08 07:00:00;471;441,72;948;889,06;79618
Madrid-Vicálvaro                            ;2020/04/08 07:00:00;306;581,23;577;1095,98;79619
Pozuelo de Alarcón                          ;2020/04/08 07:00:00;141;159,68;380;430,35;1150
Alcorcón                                    ;2020/04/08 07:00:00;728;416,38;1102;630,29;72
Navalcarnero                                ;2020/04/08 07:00:00;57;201,92;107;379,04;967
San Agustín del Guadalix                    ;2020/04/08 07:00:00;20;137,33;31;212,87;1296
Las Rozas de Madrid                         ;2020/04/08 07:00:00;277;289;475;495,58;1277
Moraleja de Enmedio                         ;2020/04/08 07:00:00;6;112,02;18;336,07;894
Valdaracete                                 ;2020/04/08 07:00:00;;658,98;;658,98;1551
Pozuelo del Rey                             ;2020/04/08 07:00:00;;0;;202,02;1163
Puebla de la Sierra                         ;2020/04/08 07:00:00;;0;;0;1185
Perales de Tajuña                           ;2020/04/08 07:00:00;;107,44;6;161,16;1104
Valdemorillo                                ;2020/04/08 07:00:00;16;132;22;181,5;1603
Navalafuente                                ;2020/04/08 07:00:00;;251,89;;377,83;941
Velilla de San Antonio                      ;2020/04/08 07:00:00;25;200,11;44;352,2;1678
Villanueva de la Cañada                     ;2020/04/08 07:00:00;30;123,03;63;258,37;1760
Villanueva del Pardillo                     ;2020/04/08 07:00:00;11;65,13;56;331,58;1776
Nuevo Baztán                                ;2020/04/08 07:00:00;7;105,31;22;330,98;1006
Villamantilla                               ;2020/04/08 07:00:00;;118,48;7;829,38;1757
Villamanta                                  ;2020/04/08 07:00:00;;187,71;;234,63;1744
Cabanillas de la Sierra                     ;2020/04/08 07:00:00;;518,13;8;1381,69;297
Cenicientos                                 ;2020/04/08 07:00:00;;50,99;13;662,93;376
Puentes Viejas                              ;2020/04/08 07:00:00;;0;;218,82;9020
Aranjuez                                    ;2020/04/08 07:00:00;187;294,81;329;518,67;133
Cercedilla                                  ;2020/04/08 07:00:00;22;293,84;47;627,75;382
Santorcaz                                   ;2020/04/08 07:00:00;;176,68;7;1236,75;1369
Coslada                                     ;2020/04/08 07:00:00;301;340,49;567;641,38;493
Morata de Tajuña                            ;2020/04/08 07:00:00;24;309;76;978,5;915
Robregordo                                  ;2020/04/08 07:00:00;;0;;0;1261
Navarredonda y San Mamés                    ;2020/04/08 07:00:00;;0;;1204,82;973
Venturada                                   ;2020/04/08 07:00:00;;70,82;;70,82;1697
Navacerrada                                 ;2020/04/08 07:00:00;7;251,08;10;358,68;936
Montejo de la Sierra                        ;2020/04/08 07:00:00;;279,33;;279,33;881
Fresno de Torote                            ;2020/04/08 07:00:00;7;582,85;13;1082,43;571
Pinilla del Valle                           ;2020/04/08 07:00:00;;0;;0;1126
Valdemaqueda                                ;2020/04/08 07:00:00;;116,96;;233,92;1599
Navas del Rey                               ;2020/04/08 07:00:00;6;203,8;41;1392,66;992
Olmeda de las Fuentes                       ;2020/04/08 07:00:00;;414,94;;1244,81;1013
Bustarviejo                                 ;2020/04/08 07:00:00;;225,1;;225,1;284
Becerril de la Sierra                       ;2020/04/08 07:00:00;10;173,25;18;311,85;186
Fuenlabrada                                 ;2020/04/08 07:00:00;501;245,57;1029;504,37;587
Garganta de los Montes                      ;2020/04/08 07:00:00;;0;;364,96;626
Pinto                                       ;2020/04/08 07:00:00;66;124,17;153;287,85;1132
Alameda del Valle                           ;2020/04/08 07:00:00;;0;;0;35
Berzosa del Lozoya                          ;2020/04/08 07:00:00;;657,89;;657,89;203
Los Santos de la Humosa                     ;2020/04/08 07:00:00;;238,24;17;1012,51;1375
El Álamo                                    ;2020/04/08 07:00:00;13;131,67;26;263,34;40
Pelayos de la Presa                         ;2020/04/08 07:00:00;;187,62;15;562,85;1090
Galapagar                                   ;2020/04/08 07:00:00;57;171,84;118;355,74;611
Griñón                                      ;2020/04/08 07:00:00;37;320,46;61;528,32;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/08 07:00:00;;0;;1027,4;632
Aldea del Fresno                            ;2020/04/08 07:00:00;14;464,19;27;895,23;88
Carabaña                                    ;2020/04/08 07:00:00;;286,04;10;572,08;357
Talamanca de Jarama                         ;2020/04/08 07:00:00;12;383,14;17;542,78;1454
Chapinería                                  ;2020/04/08 07:00:00;;131,12;6;262,24;513
Ciempozuelos                                ;2020/04/08 07:00:00;53;206,5;138;537,68;409
Ajalvir                                     ;2020/04/08 07:00:00;;84,28;7;147,49;29
San Lorenzo de El Escorial                  ;2020/04/08 07:00:00;24;135,48;52;293,54;1317
Gascones                                    ;2020/04/08 07:00:00;;0;;0;647
San Martín de la Vega                       ;2020/04/08 07:00:00;29;142,4;56;274,98;1322
Móstoles                                    ;2020/04/08 07:00:00;793;362,85;1243;568,76;920
Leganés                                     ;2020/04/08 07:00:00;1311;665,79;2204;1119,3;745
Braojos                                     ;2020/04/08 07:00:00;;621,12;;1242,24;246
Cubas de la Sagra                           ;2020/04/08 07:00:00;6;108,21;13;234,45;506
Algete                                      ;2020/04/08 07:00:00;53;238,68;69;310,74;91
Mejorada del Campo                          ;2020/04/08 07:00:00;73;297,89;138;563,13;843
Loeches                                     ;2020/04/08 07:00:00;30;432,84;44;634,83;758
Parla                                       ;2020/04/08 07:00:00;289;211,4;547;400,13;1065
Fuentidueña de Tajo                         ;2020/04/08 07:00:00;;252,14;15;756,43;604
Ambite                                      ;2020/04/08 07:00:00;;601,2;;1002;112
Torremocha de Jarama                        ;2020/04/08 07:00:00;;498,13;8;996,26;1533
Anchuelo                                    ;2020/04/08 07:00:00;;130,89;6;785,34;127
Los Molinos                                 ;2020/04/08 07:00:00;15;374,34;32;798,6;875
Soto del Real                               ;2020/04/08 07:00:00;32;326,66;47;479,79;1441
Valverde de Alcalá                          ;2020/04/08 07:00:00;;1127,82;6;2255,64;1662
Fuente el Saz de Jarama                     ;2020/04/08 07:00:00;11;128,81;16;187,35;590
Horcajo de la Sierra-Aoslos                 ;2020/04/08 07:00:00;;0;;2941,18;702
Valdeolmos-Alalpardo                        ;2020/04/08 07:00:00;6;221,4;8;295,2;1625
Campo Real                                  ;2020/04/08 07:00:00;14;232,4;18;298,8;339
Valdeavero                                  ;2020/04/08 07:00:00;;189,93;7;664,77;1564
Villamanrique de Tajo                       ;2020/04/08 07:00:00;;146,84;;293,69;1739
Cobeña                                      ;2020/04/08 07:00:00;15;201,15;27;362,08;416
Fresnedillas de la Oliva                    ;2020/04/08 07:00:00;;73,53;;220,59;565
Valdilecha                                  ;2020/04/08 07:00:00;8;313,6;10;392;1659
El Berrueco                                 ;2020/04/08 07:00:00;6;934,58;6;934,58;210
Pezuela de las Torres                       ;2020/04/08 07:00:00;;192,31;;384,62;1111
Villar del Olmo                             ;2020/04/08 07:00:00;;298,51;;298,51;1795
Guadarrama                                  ;2020/04/08 07:00:00;43;272,19;69;436,76;685
San Martín de Valdeiglesias                 ;2020/04/08 07:00:00;20;234,49;46;539,34;1338
Torrelodones                                ;2020/04/08 07:00:00;61;235,21;96;370,17;1527
Boadilla del Monte                          ;2020/04/08 07:00:00;62;117,34;164;310,39;225
Torrejón de Velasco                         ;2020/04/08 07:00:00;8;202,48;15;379,65;1505
Villanueva de Perales                       ;2020/04/08 07:00:00;;414,94;;414,94;1782
Tielmes                                     ;2020/04/08 07:00:00;26;1154,02;28;1242,79;1467
San Sebastián de los Reyes                  ;2020/04/08 07:00:00;238;259,43;331;360,8;1343
Guadalix de la Sierra                       ;2020/04/08 07:00:00;16;268,23;23;385,58;679
Humanes de Madrid                           ;2020/04/08 07:00:00;38;184,39;73;354,23;730
Chinchón                                    ;2020/04/08 07:00:00;10;193,76;16;310,02;528
Cadalso de los Vidrios                      ;2020/04/08 07:00:00;;164,31;;164,31;318
Hoyo de Manzanares                          ;2020/04/08 07:00:00;11;143,58;19;248,01;724
Torrejón de la Calzada                      ;2020/04/08 07:00:00;7;81,2;18;208,79;1492
Estremera                                   ;2020/04/08 07:00:00;;247,12;;329,49;552
Corpa                                       ;2020/04/08 07:00:00;;479,62;6;1438,85;480
Meco                                        ;2020/04/08 07:00:00;37;264,63;110;786,73;838
Madarcos                                    ;2020/04/08 07:00:00;;0;;0;783
Zarzalejo                                   ;2020/04/08 07:00:00;;124,46;;186,68;1837
Arganda del Rey                             ;2020/04/08 07:00:00;167;288,21;254;438,35;148
Collado Mediano                             ;2020/04/08 07:00:00;8;121,71;10;152,14;468
Daganzo de Arriba                           ;2020/04/08 07:00:00;16;147,68;34;313,83;534
Manzanares El Real                          ;2020/04/08 07:00:00;17;196,12;23;265,34;822
Buitrago del Lozoya                         ;2020/04/08 07:00:00;;220,75;11;485,65;278
Valdelaguna                                 ;2020/04/08 07:00:00;;121,36;;121,36;1570
Valdepiélagos                               ;2020/04/08 07:00:00;;0;;0;1631
Casarrubuelos                               ;2020/04/08 07:00:00;;146,71;9;264,08;360
Miraflores de la Sierra                     ;2020/04/08 07:00:00;10;181,23;24;434,94;856
Paracuellos de Jarama                       ;2020/04/08 07:00:00;35;152,11;55;239,04;1049
El Vellón                                   ;2020/04/08 07:00:00;;352,11;11;774,65;1684
Lozoya                                      ;2020/04/08 07:00:00;;0;;236,97;761
Collado Villalba                            ;2020/04/08 07:00:00;132;190,54;222;320,46;474
Colmenarejo                                 ;2020/04/08 07:00:00;8;98,9;17;210,16;442
Villavieja del Lozoya                       ;2020/04/08 07:00:00;;0;;0;1821
Prádena del Rincón                          ;2020/04/08 07:00:00;;0;;0;1179
La Cabrera                                  ;2020/04/08 07:00:00;6;197,95;8;263,94;301
Sevilla la Nueva                            ;2020/04/08 07:00:00;11;110,56;21;211,08;1415
La Acebeda                                  ;2020/04/08 07:00:00;;0;;0;14
Redueña                                     ;2020/04/08 07:00:00;;0;;584,8;1219
Robledillo de la Jara                       ;2020/04/08 07:00:00;;1851,85;;1851,85;1245
La Serna del Monte                          ;2020/04/08 07:00:00;;0;;0;1381
Colmenar de Oreja                           ;2020/04/08 07:00:00;9;125,05;18;250,1;437
Rozas de Puerto Real                        ;2020/04/08 07:00:00;;0;;0;1283
Valdemanco                                  ;2020/04/08 07:00:00;;0;;0;1586
Brunete                                     ;2020/04/08 07:00:00;8;70,85;44;389,66;262
Titulcia                                    ;2020/04/08 07:00:00;;301,81;;503,02;1473
Villa del Prado                             ;2020/04/08 07:00:00;30;454,75;37;560,86;1718
Lozoyuela-Navas-Sieteiglesias               ;2020/04/08 07:00:00;;174,37;;174,37;9015
Quijorna                                    ;2020/04/08 07:00:00;6;305,65;12;611,31;1198
Valdemoro                                   ;2020/04/08 07:00:00;129;168,85;523;684,57;1610
Tres Cantos                                 ;2020/04/08 07:00:00;151;314,26;222;462,02;9036
Torrelaguna                                 ;2020/04/08 07:00:00;10;197,63;12;237,15;1512
Rivas-Vaciamadrid                           ;2020/04/08 07:00:00;261;303,03;426;494,6;1230
El Atazar                                   ;2020/04/08 07:00:00;;0;;0;164
Pedrezuela                                  ;2020/04/08 07:00:00;7;126,49;12;216,84;1087
Santa María de la Alameda                   ;2020/04/08 07:00:00;;0;;0;1356
Horcajuelo de la Sierra                     ;2020/04/08 07:00:00;;0;;0;719
Arroyomolinos                               ;2020/04/08 07:00:00;74;283,64;105;402,47;151
Moralzarzal                                 ;2020/04/08 07:00:00;33;253,42;44;337,89;908
Canencia                                    ;2020/04/08 07:00:00;;271;;271;344
Villarejo de Salvanés                       ;2020/04/08 07:00:00;18;236,19;31;406,77;1809
Serranillos del Valle                       ;2020/04/08 07:00:00;6;157,94;12;315,87;1408
Villaviciosa de Odón                        ;2020/04/08 07:00:00;69;248,74;128;461,43;1816
Camarma de Esteruelas                       ;2020/04/08 07:00:00;12;168,61;35;491,78;323
Robledo de Chavela                          ;2020/04/08 07:00:00;7;185,68;10;265,25;1258
Patones                                     ;2020/04/08 07:00:00;;436,68;;655,02;1071
Navalagamella                               ;2020/04/08 07:00:00;;88,89;;222,22;954
Rascafría                                   ;2020/04/08 07:00:00;;271,55;;339,44;1202
El Boalo                                    ;2020/04/08 07:00:00;15;237,15;22;347,83;231
Majadahonda                                 ;2020/04/08 07:00:00;128;164,17;306;392,46;800
Batres                                      ;2020/04/08 07:00:00;;449,44;6;1348,31;170
Alcobendas                                  ;2020/04/08 07:00:00;256;211,2;388;320,1;66
Alcalá de Henares                           ;2020/04/08 07:00:00;690;330,07;1950;932,81;53
Colmenar Viejo                              ;2020/04/08 07:00:00;149;295,62;213;422,59;455
San Fernando de Henares                     ;2020/04/08 07:00:00;146;347,4;274;651,96;1300
Villalbilla                                 ;2020/04/08 07:00:00;24;214,77;76;680,09;1723
El Escorial                                 ;2020/04/08 07:00:00;19;114,3;42;252,66;549
Colmenar del Arroyo                         ;2020/04/08 07:00:00;;129,62;;259,24;421
Torrejón de Ardoz                           ;2020/04/08 07:00:00;307;222;769;556,08;1489
Piñuécar-Gandullas                          ;2020/04/08 07:00:00;;0;;0;1147
Brea de Tajo                                ;2020/04/08 07:00:00;;408,16;;408,16;259
El Molar                                    ;2020/04/08 07:00:00;16;166,77;23;239,73;869
Belmonte de Tajo                            ;2020/04/08 07:00:00;;72,31;;144,61;199
Torres de la Alameda                        ;2020/04/08 07:00:00;20;242,72;52;631,07;1548
Somosierra                                  ;2020/04/08 07:00:00;;1612,9;;1612,9;1436
Alpedrete                                   ;2020/04/08 07:00:00;38;263,29;68;471,14;105
Orusco de Tajuña                            ;2020/04/08 07:00:00;13;1177,54;16;1449,28;1028
La Hiruela                                  ;2020/04/08 07:00:00;;9090,91;;9090,91;698
Cervera de Buitrago                         ;2020/04/08 07:00:00;;925,93;;925,93;395
Getafe                                      ;2020/04/08 07:00:00;381;199,06;752;392,9;650
Ribatejada                                  ;2020/04/08 07:00:00;;227,79;;227,79;1224
Villaconejos                                ;2020/04/08 07:00:00;;45,09;8;180,34;1701
Valdetorres de Jarama                       ;2020/04/08 07:00:00;;125,72;11;276,59;1646
