municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Tres Cantos;2020/07/21 09:23:00;;2,1;;4,19;473;991,16;9036
Torrelaguna;2020/07/21 09:23:00;;0;;0;27;567,23;1512
Rivas-Vaciamadrid;2020/07/21 09:23:00;;1,13;6;6,81;644;730,57;1230
Pedrezuela;2020/07/21 09:23:00;;0;;33,94;39;661,91;1087
Santa María de la Alameda;2020/07/21 09:23:00;;0;;0;7;558,21;1356
Villarejo de Salvanés;2020/07/21 09:23:00;;13,63;;13,63;45;613,5;1809
Serranillos del Valle;2020/07/21 09:23:00;;0;;0;39;936,37;1408
Villaviciosa de Odón;2020/07/21 09:23:00;;0;;0;243;873;1816
Batres;2020/07/21 09:23:00;;0;;0;10;593,82;170
Robledo de Chavela;2020/07/21 09:23:00;;0;;0;30;702,58;1258
Patones;2020/07/21 09:23:00;;0;;0;16;2957,49;1071
Rascafría;2020/07/21 09:23:00;;0;;0;7;420,67;1202
San Fernando de Henares;2020/07/21 09:23:00;;2,54;;10,14;454;1151,35;1300
Villalbilla;2020/07/21 09:23:00;;0;;7,21;100;720,56;1723
Torrejón de Ardoz;2020/07/21 09:23:00;6;4,57;17;12,94;1187;903,51;1489
Becerril de la Sierra;2020/07/21 09:23:00;;0;;0;35;612,53;186
Torres de la Alameda;2020/07/21 09:23:00;;0;;0;98;1259,8;1548
Somosierra;2020/07/21 09:23:00;;0;;0;;2325,58;1436
Orusco de Tajuña;2020/07/21 09:23:00;;0;;0;24;1929,26;1028
Ribatejada;2020/07/21 09:23:00;;0;;0;;255,43;1224
Villaconejos;2020/07/21 09:23:00;;0;;0;9;265,64;1701
Belmonte de Tajo;2020/07/21 09:23:00;;0;;0;;300,48;199
Valdetorres de Jarama;2020/07/21 09:23:00;;0;;0;18;400,27;1646
Berzosa del Lozoya;2020/07/21 09:23:00;;0;;0;;975,61;203
El Berrueco;2020/07/21 09:23:00;;0;;0;12;1578,95;210
Boadilla del Monte;2020/07/21 09:23:00;;1,83;;1,83;406;744;225
El Boalo;2020/07/21 09:23:00;;0;;0;47;626;231
Braojos;2020/07/21 09:23:00;;0;;0;;975,61;246
Brea de Tajo;2020/07/21 09:23:00;;0;;0;8;1526,72;259
Brunete;2020/07/21 09:23:00;;0;;0;121;1127,05;262
Buitrago del Lozoya;2020/07/21 09:23:00;;0;;0;18;955,41;278
Bustarviejo;2020/07/21 09:23:00;;0;;0;11;439,47;284
Cabanillas de la Sierra;2020/07/21 09:23:00;;0;;0;10;1322,75;297
La Cabrera;2020/07/21 09:23:00;;0;;0;12;449,94;301
Cadalso de los Vidrios;2020/07/21 09:23:00;;0;;0;15;493,58;318
Camarma de Esteruelas;2020/07/21 09:23:00;;27,26;;27,26;48;654,31;323
Campo Real;2020/07/21 09:23:00;;0;;0;33;531,4;339
Canencia;2020/07/21 09:23:00;;0;;0;;671,14;344
Carabaña;2020/07/21 09:23:00;;0;;0;14;696,52;357
Casarrubuelos;2020/07/21 09:23:00;;0;;0;11;291,16;360
Cenicientos;2020/07/21 09:23:00;;0;;0;38;1869,16;376
Cercedilla;2020/07/21 09:23:00;;0;;0;128;1821,8;382
Cervera de Buitrago;2020/07/21 09:23:00;;0;;0;;2000;395
Ciempozuelos;2020/07/21 09:23:00;;4,07;;4,07;281;1142,65;409
Cobeña;2020/07/21 09:23:00;;0;;13,46;91;1225,09;416
Colmenar del Arroyo;2020/07/21 09:23:00;;0;;0;54;3130,43;421
Colmenar de Oreja;2020/07/21 09:23:00;;0;;0;28;348,61;437
Colmenarejo;2020/07/21 09:23:00;;21,91;;21,91;53;580,5;442
Colmenar Viejo;2020/07/21 09:23:00;;3,94;;5,91;521;1026,56;455
Collado Mediano;2020/07/21 09:23:00;;0;;14,37;35;503,02;468
Collado Villalba;2020/07/21 09:23:00;;0;;6,28;583;915,53;474
Corpa;2020/07/21 09:23:00;;0;;0;6;841,51;480
Coslada;2020/07/21 09:23:00;;2,45;;6,12;902;1104,57;493
Cubas de la Sagra;2020/07/21 09:23:00;;0;;15,59;37;576,95;506
Chapinería;2020/07/21 09:23:00;;0;;0;9;386,6;513
Chinchón;2020/07/21 09:23:00;;0;;18,76;36;675,3;528
Daganzo de Arriba;2020/07/21 09:23:00;;0;;0;48;470,36;534
El Escorial;2020/07/21 09:23:00;;0;;0;149;921,92;549
Estremera;2020/07/21 09:23:00;;0;;0;11;873,02;552
Fresnedillas de la Oliva;2020/07/21 09:23:00;;0;;0;9;572,52;565
Fresno de Torote;2020/07/21 09:23:00;;0;;45,02;15;675,37;571
Fuenlabrada;2020/07/21 09:23:00;13;6,71;45;23,23;1783;920,5;587
Fuente el Saz de Jarama;2020/07/21 09:23:00;;0;;14,93;43;642,17;590
Fuentidueña de Tajo;2020/07/21 09:23:00;;0;;48,71;20;974,18;604
Galapagar;2020/07/21 09:23:00;;0;;5,93;305;903,92;611
Garganta de los Montes;2020/07/21 09:23:00;;0;;0;;288,18;626
Gargantilla del Lozoya y Pinilla de Buitrago;2020/07/21 09:23:00;;0;;0;;949,37;632
Getafe;2020/07/21 09:23:00;10;5,45;31;16,91;1708;931,43;650
Griñón;2020/07/21 09:23:00;;0;;0;114;1104,76;663
Guadalix de la Sierra;2020/07/21 09:23:00;;0;;0;55;885,1;679
Guadarrama;2020/07/21 09:23:00;;0;;0;238;1484,53;685
La Hiruela;2020/07/21 09:23:00;;0;;0;;3508,77;698
Horcajo de la Sierra-Aoslos;2020/07/21 09:23:00;;0;;0;;2758,62;702
Hoyo de Manzanares;2020/07/21 09:23:00;;0;;0;45;533,55;724
Humanes de Madrid;2020/07/21 09:23:00;8;40,52;14;70,91;160;810,41;730
Leganés;2020/07/21 09:23:00;19;10,01;61;32,13;3513;1850,3;745
Loeches;2020/07/21 09:23:00;;11,38;;11,38;55;625,64;758
Lozoya;2020/07/21 09:23:00;;0;;0;;172,12;761
Majadahonda;2020/07/21 09:23:00;;6,96;11;15,31;658;916,1;800
Manzanares El Real;2020/07/21 09:23:00;;0;;0;49;554,3;822
Meco;2020/07/21 09:23:00;;13,98;;13,98;149;1041,59;838
Mejorada del Campo;2020/07/21 09:23:00;;0;;4,3;195;837,84;843
Miraflores de la Sierra;2020/07/21 09:23:00;;0;;0;39;638,51;856
El Molar;2020/07/21 09:23:00;;11,19;;11,19;45;503,47;869
Los Molinos;2020/07/21 09:23:00;;0;;45,57;58;1321,49;875
Montejo de la Sierra;2020/07/21 09:23:00;;0;;0;;283,29;881
Moraleja de Enmedio;2020/07/21 09:23:00;;0;;0;30;584,11;894
Moralzarzal;2020/07/21 09:23:00;;0;;0;83;637,19;908
Morata de Tajuña;2020/07/21 09:23:00;;0;;13,02;114;1483,8;915
Móstoles;2020/07/21 09:23:00;16;7,65;51;24,38;2407;1150,66;920
Navacerrada;2020/07/21 09:23:00;;0;;0;19;639,3;936
Navalafuente;2020/07/21 09:23:00;;0;;0;8;552,1;941
Navalagamella;2020/07/21 09:23:00;;0;;0;8;306,51;954
Navalcarnero;2020/07/21 09:23:00;;0;;0;225;767,97;967
Navarredonda y San Mamés;2020/07/21 09:23:00;;0;;0;;775,19;973
Navas del Rey;2020/07/21 09:23:00;;0;;0;82;2810,14;992
Madrid-Centro;2020/07/21 09:23:00;16;11,87;25;18,54;1344;996,68;79601
Madrid-Arganzuela;2020/07/21 09:23:00;10;6,5;27;17,55;1821;1183,98;79602
Madrid-Retiro;2020/07/21 09:23:00;6;5,03;22;18,44;1757;1472,55;79603
Madrid-Salamanca;2020/07/21 09:23:00;;3,42;22;15,06;1837;1257,32;79604
Madrid-Chamartín;2020/07/21 09:23:00;12;8,23;26;17,83;1880;1289;79605
Madrid-Tetuán;2020/07/21 09:23:00;6;3,8;17;10,76;2282;1444,09;79606
Madrid-Chamberí;2020/07/21 09:23:00;10;7,17;16;11,48;1823;1307,94;79607
Madrid-Fuencarral-El Pardo;2020/07/21 09:23:00;;2,03;18;7,32;3445;1400,75;79608
Madrid-Moncloa-Aravaca;2020/07/21 09:23:00;17;14,24;31;25,96;1642;1374,99;79609
Madrid-Latina;2020/07/21 09:23:00;12;5,04;38;15,95;3166;1329,03;79610
Madrid-Carabanchel;2020/07/21 09:23:00;17;6,72;39;15,41;3073;1214,15;79611
Madrid-Usera;2020/07/21 09:23:00;6;4,29;14;10,02;1540;1102,04;79612
Madrid-Puente de Vallecas;2020/07/21 09:23:00;9;3,83;46;19,59;3454;1470,68;79613
Madrid-Moratalaz;2020/07/21 09:23:00;;4,23;16;16,92;1556;1645,34;79614
Madrid-Ciudad Lineal;2020/07/21 09:23:00;14;6,47;26;12,02;2542;1175,31;79615
Madrid-Hortaleza;2020/07/21 09:23:00;6;3,19;13;6,91;2112;1122,29;79616
Madrid-Villaverde;2020/07/21 09:23:00;10;6,71;18;12,08;1634;1097,04;79617
Madrid-Villa de Vallecas;2020/07/21 09:23:00;;2,72;8;7,25;1345;1218,68;79618
Madrid-Vicálvaro;2020/07/21 09:23:00;;5,55;20;27,74;965;1338,59;79619
Madrid-San Blas - Canillejas;2020/07/21 09:23:00;6;3,79;11;6,96;1673;1057,91;79620
Madrid-Barajas;2020/07/21 09:23:00;;2,04;;6,13;491;1003,17;79621
Pozuelo de Alarcón;2020/07/14 09:23:00;;1,16;;5,79;882;1020,57;1150
San Agustín del Guadalix;2020/07/14 09:23:00;;0;;0;85;635,32;1296
Las Rozas de Madrid;2020/07/14 09:23:00;;3,13;6;6,26;897;936,19;1277
Valdaracete;2020/07/14 09:23:00;;0;;0;7;1149,43;1551
Pozuelo del Rey;2020/07/14 09:23:00;;0;;0;;348,74;1163
Ajalvir;2020/07/14 09:23:00;;0;;0;37;785,23;29
Perales de Tajuña;2020/07/14 09:23:00;;0;;0;12;408,86;1104
Valdemorillo;2020/07/14 09:23:00;;0;;0;54;431,38;1603
Velilla de San Antonio;2020/07/14 09:23:00;;0;;0;78;637,46;1678
Villanueva de la Cañada;2020/07/14 09:23:00;;0;;4,66;175;816,04;1760
Villanueva del Pardillo;2020/07/14 09:23:00;;0;;0;115;669,38;1776
Nuevo Baztán;2020/07/14 09:23:00;;0;;15,93;35;557,68;1006
Villamantilla;2020/07/14 09:23:00;;0;;0;8;555,17;1757
Villamanta;2020/07/14 09:23:00;;0;;0;17;665,36;1744
El Álamo;2020/07/14 09:23:00;;0;;10,56;109;1151;40
Puentes Viejas;2020/07/14 09:23:00;;0;;0;;294,55;9020
Santorcaz;2020/07/14 09:23:00;;0;;0;8;902,93;1369
Venturada;2020/07/14 09:23:00;;0;;0;;138,7;1697
Alcalá de Henares;2020/07/14 09:23:00;;1,53;7;3,58;2562;1309,49;53
Valdemaqueda;2020/07/14 09:23:00;;0;;0;;640,2;1599
Olmeda de las Fuentes;2020/07/14 09:23:00;;287,36;;287,36;;1149,43;1013
Pinto;2020/07/14 09:23:00;;0;7;13,33;374;712,03;1132
Los Santos de la Humosa;2020/07/14 09:23:00;;0;;0;21;810,81;1375
Alcobendas;2020/07/14 09:23:00;;0;;3,42;938;801,44;66
Pelayos de la Presa;2020/07/14 09:23:00;;0;;0;21;808,94;1090
Alcorcón;2020/07/14 09:23:00;7;4,11;10;5,86;2003;1174,68;72
Talamanca de Jarama;2020/07/14 09:23:00;;0;;0;68;1763,03;1454
San Lorenzo de El Escorial;2020/07/14 09:23:00;;0;;10,89;153;832,93;1317
San Martín de la Vega;2020/07/14 09:23:00;;5,22;;15,65;111;579,03;1322
Parla;2020/07/14 09:23:00;;2,31;8;6,15;857;658,6;1065
Aldea del Fresno;2020/07/14 09:23:00;;0;;0;63;2219,87;88
Torremocha de Jarama;2020/07/14 09:23:00;;0;;0;14;1373,9;1533
Algete;2020/07/14 09:23:00;;9,7;;14,56;142;688,95;91
Soto del Real;2020/07/14 09:23:00;;11,36;;22,73;81;920,56;1441
Valverde de Alcalá;2020/07/14 09:23:00;;0;;0;8;1720,43;1662
Valdeolmos-Alalpardo;2020/07/14 09:23:00;;0;;0;11;265,96;1625
Valdeavero;2020/07/14 09:23:00;;0;;0;10;643,5;1564
Villamanrique de Tajo;2020/07/14 09:23:00;;0;;0;;568,99;1739
Valdilecha;2020/07/14 09:23:00;;34,09;;34,09;23;784,18;1659
Pezuela de las Torres;2020/07/14 09:23:00;;0;;0;;237,53;1111
Alpedrete;2020/07/14 09:23:00;;0;;6,86;154;1056,6;105
Villar del Olmo;2020/07/14 09:23:00;;0;;0;7;348,09;1795
San Martín de Valdeiglesias;2020/07/14 09:23:00;;0;;11,82;102;1205,82;1338
Torrelodones;2020/07/14 09:23:00;;0;;8,43;363;1530,55;1527
Torrejón de Velasco;2020/07/14 09:23:00;;0;;68,46;27;616,16;1505
Ambite;2020/07/14 09:23:00;;0;;0;7;1182,43;112
Villanueva de Perales;2020/07/14 09:23:00;;0;;0;;319,9;1782
Tielmes;2020/07/14 09:23:00;;0;;0;37;1396,23;1467
San Sebastián de los Reyes;2020/07/14 09:23:00;;3,36;7;7,84;650;728,08;1343
Torrejón de la Calzada;2020/07/14 09:23:00;;11,27;;22,54;45;507,21;1492
Zarzalejo;2020/07/14 09:23:00;;0;;0;44;2653,8;1837
Anchuelo;2020/07/14 09:23:00;;0;;0;9;708,1;127
Valdelaguna;2020/07/14 09:23:00;;0;;0;;106,72;1570
Aranjuez;2020/07/14 09:23:00;;0;;1,68;482;808,63;133
Paracuellos de Jarama;2020/07/14 09:23:00;;3,96;;7,91;92;364,08;1049
El Vellón;2020/07/14 09:23:00;;0;;0;14;715,02;1684
Sevilla la Nueva;2020/07/14 09:23:00;;0;;0;160;1717,11;1415
Redueña;2020/07/14 09:23:00;;0;;0;;769,23;1219
Robledillo de la Jara;2020/07/14 09:23:00;;0;;0;;1250;1245
Arganda del Rey;2020/07/14 09:23:00;;0;;3,61;408;736,61;148
Rozas de Puerto Real;2020/07/14 09:23:00;;0;;0;;943,4;1283
Valdemanco;2020/07/14 09:23:00;;0;;0;;218,82;1586
Arroyomolinos;2020/07/14 09:23:00;;0;;6,37;199;633,84;151
Titulcia;2020/07/14 09:23:00;;0;;0;10;761,61;1473
Villa del Prado;2020/07/14 09:23:00;;0;;0;136;2085,89;1718
Lozoyuela-Navas-Sieteiglesias;2020/07/14 09:23:00;;0;;0;;307,93;9015
Quijorna;2020/07/14 09:23:00;;0;;0;35;1017,74;1198
Valdemoro;2020/07/14 09:23:00;;3,95;10;13,16;908;1195;1610
Tres Cantos;2020/07/14 09:23:00;;2,1;;2,1;471;986,97;9036
Torrelaguna;2020/07/14 09:23:00;;0;;0;27;567,23;1512
Rivas-Vaciamadrid;2020/07/14 09:23:00;;0;;3,4;639;724,9;1230
Pedrezuela;2020/07/14 09:23:00;;0;;0;37;627,97;1087
Santa María de la Alameda;2020/07/14 09:23:00;;0;;0;7;558,21;1356
Villarejo de Salvanés;2020/07/14 09:23:00;;13,63;;13,63;45;613,5;1809
Serranillos del Valle;2020/07/14 09:23:00;;0;;0;39;936,37;1408
Villaviciosa de Odón;2020/07/14 09:23:00;;0;;3,59;242;869,41;1816
Batres;2020/07/14 09:23:00;;0;;0;10;593,82;170
Robledo de Chavela;2020/07/14 09:23:00;;0;;0;30;702,58;1258
Patones;2020/07/14 09:23:00;;0;;0;16;2957,49;1071
Rascafría;2020/07/14 09:23:00;;0;;0;7;420,67;1202
San Fernando de Henares;2020/07/14 09:23:00;;0;;0;450;1141,21;1300
Villalbilla;2020/07/14 09:23:00;;0;;7,21;100;720,56;1723
Torrejón de Ardoz;2020/07/14 09:23:00;;0,76;17;12,94;1181;898,95;1489
Becerril de la Sierra;2020/07/14 09:23:00;;0;;0;35;612,53;186
Torres de la Alameda;2020/07/14 09:23:00;;0;;0;90;1156,96;1548
Somosierra;2020/07/14 09:23:00;;0;;0;;2325,58;1436
Orusco de Tajuña;2020/07/14 09:23:00;;0;;0;24;1929,26;1028
Ribatejada;2020/07/14 09:23:00;;0;;0;;255,43;1224
Villaconejos;2020/07/14 09:23:00;;0;;0;9;265,64;1701
Belmonte de Tajo;2020/07/14 09:23:00;;0;;0;;300,48;199
Valdetorres de Jarama;2020/07/14 09:23:00;;0;;0;18;400,27;1646
Berzosa del Lozoya;2020/07/14 09:23:00;;0;;0;;975,61;203
El Berrueco;2020/07/14 09:23:00;;0;;0;12;1578,95;210
Boadilla del Monte;2020/07/14 09:23:00;;1,83;;1,83;405;742,17;225
El Boalo;2020/07/14 09:23:00;;0;;0;47;626;231
Braojos;2020/07/14 09:23:00;;0;;0;;975,61;246
Brea de Tajo;2020/07/14 09:23:00;;0;;0;8;1526,72;259
Brunete;2020/07/14 09:23:00;;0;;0;121;1127,05;262
Buitrago del Lozoya;2020/07/14 09:23:00;;0;;0;18;955,41;278
Bustarviejo;2020/07/14 09:23:00;;0;;0;11;439,47;284
Cabanillas de la Sierra;2020/07/14 09:23:00;;0;;0;10;1322,75;297
La Cabrera;2020/07/14 09:23:00;;0;;0;12;449,94;301
Cadalso de los Vidrios;2020/07/14 09:23:00;;0;;0;15;493,58;318
Camarma de Esteruelas;2020/07/14 09:23:00;;0;;0;47;640,68;323
Campo Real;2020/07/14 09:23:00;;0;;16,1;33;531,4;339
Canencia;2020/07/14 09:23:00;;0;;0;;671,14;344
Carabaña;2020/07/14 09:23:00;;0;;0;14;696,52;357
Casarrubuelos;2020/07/14 09:23:00;;0;;0;11;291,16;360
Cenicientos;2020/07/14 09:23:00;;0;;49,19;38;1869,16;376
Cercedilla;2020/07/14 09:23:00;;0;;0;128;1821,8;382
Cervera de Buitrago;2020/07/14 09:23:00;;0;;0;;2000;395
Ciempozuelos;2020/07/14 09:23:00;;4,07;;8,13;281;1142,65;409
Cobeña;2020/07/14 09:23:00;;0;;13,46;90;1211,63;416
Colmenar del Arroyo;2020/07/14 09:23:00;;0;;0;54;3130,43;421
Colmenar de Oreja;2020/07/14 09:23:00;;0;;0;28;348,61;437
Colmenarejo;2020/07/14 09:23:00;;21,91;;21,91;53;580,5;442
Colmenar Viejo;2020/07/14 09:23:00;;3,94;;9,85;518;1020,65;455
Collado Mediano;2020/07/14 09:23:00;;0;;0;34;488,65;468
Collado Villalba;2020/07/14 09:23:00;;4,71;9;14,13;578;907,68;474
Corpa;2020/07/14 09:23:00;;0;;0;6;841,51;480
Coslada;2020/07/14 09:23:00;;2,45;6;7,35;899;1100,89;493
Cubas de la Sagra;2020/07/14 09:23:00;;0;;31,19;37;576,95;506
Chapinería;2020/07/14 09:23:00;;0;;0;9;386,6;513
Chinchón;2020/07/14 09:23:00;;0;;56,27;36;675,3;528
Daganzo de Arriba;2020/07/14 09:23:00;;0;;0;48;470,36;534
El Escorial;2020/07/14 09:23:00;;0;;0;149;921,92;549
Estremera;2020/07/14 09:23:00;;0;;79,37;11;873,02;552
Fresnedillas de la Oliva;2020/07/14 09:23:00;;0;;0;9;572,52;565
Fresno de Torote;2020/07/14 09:23:00;;0;;0;14;630,35;571
Fuenlabrada;2020/07/14 09:23:00;;1,55;19;9,81;1744;900,36;587
Fuente el Saz de Jarama;2020/07/14 09:23:00;;0;;0;42;627,24;590
Fuentidueña de Tajo;2020/07/14 09:23:00;;0;;0;19;925,47;604
Galapagar;2020/07/14 09:23:00;;2,96;;8,89;304;900,95;611
Garganta de los Montes;2020/07/14 09:23:00;;0;;0;;288,18;626
Gargantilla del Lozoya y Pinilla de Buitrago;2020/07/14 09:23:00;;0;;0;;949,37;632
Getafe;2020/07/14 09:23:00;8;4,36;30;16,36;1682;917,25;650
Griñón;2020/07/14 09:23:00;;9,69;;9,69;114;1104,76;663
Guadalix de la Sierra;2020/07/14 09:23:00;;0;;0;55;885,1;679
Guadarrama;2020/07/14 09:23:00;;0;;0;238;1484,53;685
La Hiruela;2020/07/14 09:23:00;;0;;0;;3508,77;698
Horcajo de la Sierra-Aoslos;2020/07/14 09:23:00;;0;;0;;2758,62;702
Hoyo de Manzanares;2020/07/14 09:23:00;;0;;0;45;533,55;724
Humanes de Madrid;2020/07/14 09:23:00;;10,13;;25,33;148;749,63;730
Leganés;2020/07/14 09:23:00;;2,11;32;16,85;3463;1823,97;745
Loeches;2020/07/14 09:23:00;;0;;0;54;614,26;758
Lozoya;2020/07/14 09:23:00;;0;;0;;172,12;761
Majadahonda;2020/07/14 09:23:00;;4,18;;6,96;651;906,36;800
Manzanares El Real;2020/07/14 09:23:00;;0;;0;49;554,3;822
Meco;2020/07/14 09:23:00;;6,99;;13,98;148;1034,6;838
Mejorada del Campo;2020/07/14 09:23:00;;0;;4,3;195;837,84;843
Miraflores de la Sierra;2020/07/14 09:23:00;;0;;0;39;638,51;856
El Molar;2020/07/14 09:23:00;;0;;0;44;492,28;869
Los Molinos;2020/07/14 09:23:00;;0;;45,57;58;1321,49;875
Montejo de la Sierra;2020/07/14 09:23:00;;0;;0;;283,29;881
Moraleja de Enmedio;2020/07/14 09:23:00;;0;;0;30;584,11;894
Moralzarzal;2020/07/14 09:23:00;;7,68;;7,68;83;637,19;908
Morata de Tajuña;2020/07/14 09:23:00;;0;;0;113;1470,78;915
Móstoles;2020/07/14 09:23:00;;2,39;11;5,26;2359;1127,72;920
Navacerrada;2020/07/14 09:23:00;;0;;0;19;639,3;936
Navalafuente;2020/07/14 09:23:00;;0;;0;8;552,1;941
Navalagamella;2020/07/14 09:23:00;;0;;0;8;306,51;954
Navalcarnero;2020/07/14 09:23:00;;0;;0;224;764,56;967
Navarredonda y San Mamés;2020/07/14 09:23:00;;0;;0;;775,19;973
Navas del Rey;2020/07/14 09:23:00;;0;;0;82;2810,14;992
Madrid-Centro;2020/07/14 09:23:00;13;9,64;27;20,02;1330;986,3;79601
Madrid-Arganzuela;2020/07/14 09:23:00;8;5,2;14;9,1;1798;1169,03;79602
Madrid-Retiro;2020/07/14 09:23:00;;0;8;6,7;1738;1456,62;79603
Madrid-Salamanca;2020/07/14 09:23:00;6;4,11;16;10,95;1822;1247,06;79604
Madrid-Chamartín;2020/07/14 09:23:00;;2,74;11;7,54;1857;1273,23;79605
Madrid-Tetuán;2020/07/14 09:23:00;;2,53;11;6,96;2268;1435,23;79606
Madrid-Chamberí;2020/07/14 09:23:00;11;7,89;19;13,63;1813;1300,77;79607
Madrid-Fuencarral-El Pardo;2020/07/14 09:23:00;;2,03;14;5,69;3392;1379,2;79608
Madrid-Moncloa-Aravaca;2020/07/14 09:23:00;;2,51;13;10,89;1617;1354,06;79609
Madrid-Latina;2020/07/14 09:23:00;6;2,52;18;7,56;3129;1313,5;79610
Madrid-Carabanchel;2020/07/14 09:23:00;12;4,74;35;13,83;3039;1200,72;79611
Madrid-Usera;2020/07/14 09:23:00;;3,58;8;5,72;1527;1092,74;79612
Madrid-Puente de Vallecas;2020/07/14 09:23:00;11;4,68;39;16,61;3424;1457,91;79613
Madrid-Moratalaz;2020/07/14 09:23:00;;4,23;15;15,86;1546;1634,77;79614
Madrid-Ciudad Lineal;2020/07/14 09:23:00;8;3,7;23;10,63;2514;1162,36;79615
Madrid-Hortaleza;2020/07/14 09:23:00;;1,59;12;6,38;2073;1101,56;79616
Madrid-Villaverde;2020/07/14 09:23:00;11;7,39;23;15,44;1621;1088,31;79617
Madrid-Villa de Vallecas;2020/07/14 09:23:00;;0,91;6;5,44;1340;1214,15;79618
Madrid-Vicálvaro;2020/07/14 09:23:00;;4,16;9;12,48;949;1316,39;79619
Madrid-San Blas - Canillejas;2020/07/14 09:23:00;;2,53;22;13,91;1663;1051,59;79620
Madrid-Barajas;2020/07/14 09:23:00;;2,04;;10,22;486;992,95;79621
La Acebeda;2020/07/07 09:32:00;;0;;0;;0;14
Pozuelo de Alarcón;2020/07/07 09:32:00;;2,31;;5,79;880;1018,26;1150
San Agustín del Guadalix;2020/07/07 09:32:00;;0;;0;85;635,32;1296
Las Rozas de Madrid;2020/07/07 09:32:00;;3,13;8;8,35;882;920,53;1277
Valdaracete;2020/07/07 09:32:00;;0;;0;7;1149,43;1551
Pozuelo del Rey;2020/07/07 09:32:00;;0;;0;;348,74;1163
Ajalvir;2020/07/07 09:32:00;;0;;21,22;37;785,23;29
Puebla de la Sierra;2020/07/07 09:32:00;;0;;0;;0;1185
Perales de Tajuña;2020/07/07 09:32:00;;0;;0;12;408,86;1104
Valdemorillo;2020/07/07 09:32:00;;0;;0;55;439,37;1603
Velilla de San Antonio;2020/07/07 09:32:00;;0;;0;78;637,46;1678
Villanueva de la Cañada;2020/07/07 09:32:00;;0;;0;174;811,38;1760
Alameda del Valle;2020/07/07 09:32:00;;0;;0;;0;35
Villanueva del Pardillo;2020/07/07 09:32:00;;0;;0;115;669,38;1776
Nuevo Baztán;2020/07/07 09:32:00;;0;;15,93;34;541,75;1006
Villamantilla;2020/07/07 09:32:00;;0;;0;8;555,17;1757
Villamanta;2020/07/07 09:32:00;;0;;0;19;743,64;1744
El Álamo;2020/07/07 09:32:00;;0;;10,56;113;1193,24;40
Puentes Viejas;2020/07/07 09:32:00;;0;;0;;294,55;9020
Santorcaz;2020/07/07 09:32:00;;0;;0;7;790,07;1369
Robregordo;2020/07/07 09:32:00;;0;;0;;0;1261
Venturada;2020/07/07 09:32:00;;0;;0;;138,7;1697
Alcalá de Henares;2020/07/07 09:32:00;;1,02;10;5,11;2539;1297,73;53
Pinilla del Valle;2020/07/07 09:32:00;;0;;0;;0;1126
Valdemaqueda;2020/07/07 09:32:00;;0;;0;;640,2;1599
Olmeda de las Fuentes;2020/07/07 09:32:00;;287,36;;287,36;;1149,43;1013
Pinto;2020/07/07 09:32:00;;3,81;11;20,94;368;700,61;1132
Los Santos de la Humosa;2020/07/07 09:32:00;;0;;0;21;810,81;1375
Alcobendas;2020/07/07 09:32:00;;0,85;10;8,54;928;792,89;66
Pelayos de la Presa;2020/07/07 09:32:00;;38,52;;38,52;20;770,42;1090
Alcorcón;2020/07/07 09:32:00;7;4,11;11;6,45;1976;1158,85;72
Talamanca de Jarama;2020/07/07 09:32:00;;0;;0;67;1737,1;1454
San Lorenzo de El Escorial;2020/07/07 09:32:00;;0;;10,89;153;832,93;1317
San Martín de la Vega;2020/07/07 09:32:00;;5,22;;20,87;109;568,6;1322
Parla;2020/07/07 09:32:00;;2,31;8;6,15;845;649,38;1065
Aldea del Fresno;2020/07/07 09:32:00;;0;;0;63;2219,87;88
Torremocha de Jarama;2020/07/07 09:32:00;;0;;0;16;1570,17;1533
Algete;2020/07/07 09:32:00;;4,85;;9,7;141;684,1;91
Soto del Real;2020/07/07 09:32:00;;0;;11,36;79;897,83;1441
Valverde de Alcalá;2020/07/07 09:32:00;;0;;0;8;1720,43;1662
Valdeolmos-Alalpardo;2020/07/07 09:32:00;;0;;0;11;265,96;1625
Valdeavero;2020/07/07 09:32:00;;0;;0;10;643,5;1564
Villamanrique de Tajo;2020/07/07 09:32:00;;0;;0;;568,99;1739
Valdilecha;2020/07/07 09:32:00;;34,09;;68,19;22;750,09;1659
Pezuela de las Torres;2020/07/07 09:32:00;;0;;0;;237,53;1111
Alpedrete;2020/07/07 09:32:00;;0;;6,86;154;1056,6;105
Villar del Olmo;2020/07/07 09:32:00;;0;;0;7;348,09;1795
San Martín de Valdeiglesias;2020/07/07 09:32:00;;11,82;;11,82;101;1193,99;1338
Torrelodones;2020/07/07 09:32:00;;0;;4,22;361;1522,11;1527
Torrejón de Velasco;2020/07/07 09:32:00;;0;;45,64;25;570,52;1505
Ambite;2020/07/07 09:32:00;;0;;0;7;1182,43;112
Villanueva de Perales;2020/07/07 09:32:00;;0;;0;;319,9;1782
Tielmes;2020/07/07 09:32:00;;0;;37,74;37;1396,23;1467
San Sebastián de los Reyes;2020/07/07 09:32:00;;3,36;8;8,96;643;720,24;1343
