municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Torres de la Alameda;2020/09/15 10:23:00;;25,71;42;539,92;166;2133,95;1548
Somosierra;2020/09/15 10:23:00;;0;;0;;2325,58;1436
Alpedrete;2020/09/15 10:23:00;;13,72;57;391,08;264;1811,32;0105
Orusco de Tajuña;2020/09/15 10:23:00;;80,39;;160,77;30;2411,58;1028
La Hiruela;2020/09/15 10:23:00;;0;;0;;3508,77;0698
Cervera de Buitrago;2020/09/15 10:23:00;;0;;0;;2000;0395
Getafe;2020/09/15 10:23:00;180;98,16;1134;618,41;4108;2240,23;0650
Ribatejada;2020/09/15 10:23:00;;0;8;1021,71;11;1404,85;1224
Villaconejos;2020/09/15 10:23:00;;118,06;11;324,68;33;974,03;1701
Valdetorres de Jarama;2020/09/15 10:23:00;;44,47;11;244,61;49;1089,62;1646
Puebla de la Sierra;2020/09/08 11:03:00;;0;;0;;0;
Robregordo;2020/09/08 11:03:00;;0;;0;;0;
Alameda del Valle;2020/09/08 11:03:00;;0;;0;;0;
Madarcos;2020/09/08 11:03:00;;0;;0;;0;
Prádena del Rincón;2020/09/08 11:03:00;;0;;0;;0;
La Acebeda;2020/09/08 11:03:00;;0;;0;;0;
El Atazar;2020/09/08 11:03:00;;0;;0;;0;
Horcajuelo de la Sierra;2020/09/08 11:03:00;;0;;0;;0;
Pozuelo de Alarcón;2020/09/08 11:03:00;24;27,77;348;402,68;1613;1866,42;1150
San Agustín del Guadalix;2020/09/08 11:03:00;9;67,27;51;381,19;215;1607;1296
Las Rozas de Madrid;2020/09/08 11:03:00;26;27,14;269;280,75;1436;1498,74;1277
Valdaracete;2020/09/08 11:03:00;;0;6;985,22;19;3119,87;1551
Pozuelo del Rey;2020/09/08 11:03:00;;0;;174,37;7;610,29;1163
Ajalvir;2020/09/08 11:03:00;;0;11;233,45;56;1188,46;29
Perales de Tajuña;2020/09/08 11:03:00;;102,21;23;783,65;64;2180,58;1104
Valdemorillo;2020/09/08 11:03:00;10;79,88;52;415,4;166;1326,09;1603
Velilla de San Antonio;2020/09/08 11:03:00;5;40,86;52;424,98;213;1740,76;1678
Villanueva de la Cañada;2020/09/08 11:03:00;11;51,29;59;275,12;288;1342,97;1760
Villanueva del Pardillo;2020/09/08 11:03:00;14;81,49;68;395,81;246;1431,9;1776
Nuevo Baztán;2020/09/08 11:03:00;8;127,47;42;669,22;108;1720,84;1006
Villamantilla;2020/09/08 11:03:00;;0;;208,19;12;832,76;1757
Villamanta;2020/09/08 11:03:00;;39,14;6;234,83;29;1135,03;1744
