Fecha;cod_ine;CCAA;Total Pacientes COVID ingresados;% Camas Ocupadas COVID;Total pacientes COVID en UCI;% Camas Ocupadas UCI COVID;Ingresos COVID últimas 24 h;Altas COVID últimas 24 h
2020-08-26;16;País Vasco;402,0;10;38,0;;55,0;53,0
2020-08-26;17;La Rioja;39,0;5;3,0;;9,0;4,0
2020-08-26;0;España;6036,0;5;715,0;;880,0;644,0
2020-08-27;1;Andalucía;524,0;3;68,0;;105,0;65,0
2020-08-27;2;Aragón;510,0;13;62,0;;66,0;56,0
2020-08-27;3;Asturias;15,0;1;1,0;;6,0;2,0
2020-08-27;4;Baleares;270,0;9;42,0;;35,0;20,0
2020-08-27;5;Canarias;96,0;2;16,0;;13,0;6,0
2020-08-27;6;Cantabria;35,0;2;2,0;;7,0;5,0
2020-08-27;8;Castilla La Mancha;214,0;5;27,0;;27,0;12,0
2020-08-27;7;Castilla y León;313,0;6;28,0;;64,0;43,0
2020-08-27;9;Cataluña;1043,0;4;151,0;;129,0;102,0
2020-08-27;18;Ceuta;2,0;1;0,0;;1,0;0,0
2020-08-27;10;C. Valenciana;411,0;4;54,0;;62,0;49,0
2020-08-27;11;Extremadura;41,0;2;8,0;;5,0;1,0
2020-08-27;12;Galicia;137,0;2;13,0;;18,0;5,0
2020-08-27;13;Madrid;1916,0;14;200,0;;290,0;229,0
2020-08-27;19;Melilla;4,0;2;1,0;;1,0;0,0
2020-08-27;14;Murcia;172,0;6;26,0;;40,0;23,0
2020-08-27;15;Navarra;61,0;4;9,0;;9,0;9,0
2020-08-27;16;País Vasco;419,0;10;40,0;;73,0;57,0
2020-08-27;17;La Rioja;41,0;5;3,0;;7,0;5,0
2020-08-27;0;España;6224,0;6;751,0;;958,0;689,0
2020-08-30;1;Andalucía;576,0;4;83,0;;85,0;40,0
2020-08-30;2;Aragón;522,0;13;69,0;;37,0;10,0
2020-08-30;3;Asturias;55,0;2;4,0;;11,0;1,0
2020-08-30;4;Baleares;309,0;11;52,0;;38,0;18,0
2020-08-30;5;Canarias;232,0;5;33,0;;23,0;12,0
2020-08-30;6;Cantabria;39,0;3;3,0;;7,0;0,0
2020-08-30;8;Castilla La Mancha;277,0;7;30,0;;34,0;13,0
2020-08-30;7;Castilla y León;329,0;7;31,0;;35,0;10,0
2020-08-30;9;Cataluña;1076,0;5;160,0;;77,0;43,0
2020-08-30;18;Ceuta;4,0;2;0,0;;1,0;0,0
2020-08-30;10;C. Valenciana;464,0;4;52,0;;81,0;27,0
2020-08-30;11;Extremadura;48,0;2;13,0;;11,0;1,0
2020-08-30;12;Galicia;132,0;2;13,0;;17,0;7,0
2020-08-30;13;Madrid;2128,0;16;218,0;;221,0;99,0
2020-08-30;19;Melilla;8,0;5;1,0;;4,0;0,0
2020-08-30;14;Murcia;158,0;8;25,0;;24,0;2,0
2020-08-30;15;Navarra;75,0;4;9,0;;11,0;5,0
2020-08-30;16;País Vasco;475,0;11;45,0;;27,0;11,0
2020-08-30;17;La Rioja;50,0;7;5,0;;6,0;2,0
2020-08-30;0;España;6557,0;6;846,0;;750,0;301,0
2020-08-31;1;Andalucía;628,0;4;82,0;;122,0;76,0
2020-08-31;2;Aragón;339,0;14;43,0;;32,0;28,0
2020-08-31;3;Asturias;36,0;1;3,0;;10,0;4,0
2020-08-31;4;Baleares;319,0;11;51,0;;36,0;30,0
2020-08-31;5;Canarias;211,0;4;38,0;;28,0;20,0
2020-08-31;6;Cantabria;40,0;3;6,0;;12,0;6,0
2020-08-31;8;Castilla La Mancha;261,0;7;29,0;;24,0;15,0
2020-08-31;7;Castilla y León;350,0;7;34,0;;51,0;46,0
2020-08-31;9;Cataluña;1089,0;5;152,0;;103,0;129,0
2020-08-31;18;Ceuta;4,0;3;0,0;;0,0;0,0
2020-08-31;10;C. Valenciana;480,0;4;53,0;;77,0;55,0
2020-08-31;11;Extremadura;55,0;2;12,0;;4,0;0,0
2020-08-31;12;Galicia;153,0;2;13,0;;28,0;11,0
2020-08-31;13;Madrid;2029,0;15;211,0;;247,0;250,0
2020-08-31;19;Melilla;6,0;3;1,0;;0,0;2,0
2020-08-31;14;Murcia;219,0;7;37,0;;45,0;36,0
2020-08-31;15;Navarra;76,0;5;8,0;;5,0;6,0
2020-08-31;16;País Vasco;463,0;12;44,0;;57,0;73,0
2020-08-31;17;La Rioja;49,0;6;6,0;;7,0;8,0
2020-08-31;0;España;6807,0;6;823,0;;888,0;795,0
2020-09-01;1;Andalucía;644,0;4;84,0;;126,0;61,0
2020-09-01;2;Aragón;492,0;12;67,0;;47,0;57,0
2020-09-01;3;Asturias;42,0;1;4,0;;10,0;3,0
2020-09-01;4;Baleares;314,0;11;56,0;;35,0;37,0
2020-09-01;5;Canarias;199,0;4;41,0;;26,0;23,0
2020-09-01;6;Cantabria;52,0;4;6,0;;16,0;3,0
2020-09-01;8;Castilla La Mancha;299,0;7;41,0;;39,0;26,0
2020-09-01;7;Castilla y León;346,0;7;33,0;;54,0;40,0
2020-09-01;9;Cataluña;1076,0;5;157,0;;125,0;102,0
2020-09-01;18;Ceuta;4,0;3;0,0;;0,0;0,0
2020-09-01;10;C. Valenciana;464,0;4;53,0;;70,0;40,0
